
  ==========================================
  Studio Pro version: 9.6.5
  Started at: 25/10/2023 11:06:57
  ==========================================
  

[2023-10-25T16:11:09.361Z] : [warn]: There is a small amount of free memory (RAM) left, 90.33% of RAM is being used (14501 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T16:14:09.385Z] : [warn]: There is a small amount of free memory (RAM) left, 91.14% of RAM is being used (14630 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T16:18:09.380Z] : [warn]: There is a small amount of free memory (RAM) left, 90.97% of RAM is being used (14603 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T16:19:09.370Z] : [warn]: There is a small amount of free memory (RAM) left, 91.24% of RAM is being used (14647 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T16:24:39.373Z] : [warn]: There is a small amount of free memory (RAM) left, 90.11% of RAM is being used (14465 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T16:27:39.373Z] : [warn]: There is a small amount of free memory (RAM) left, 90.77% of RAM is being used (14571 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T16:34:09.381Z] : [warn]: There is a small amount of free memory (RAM) left, 90.68% of RAM is being used (14557 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T16:44:39.363Z] : [warn]: There is a small amount of free memory (RAM) left, 91.48% of RAM is being used (14686 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T17:10:09.367Z] : [warn]: There is a small amount of free memory (RAM) left, 90.32% of RAM is being used (14499 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:17:09.379Z] : [warn]: There is a small amount of free memory (RAM) left, 93.94% of RAM is being used (15080 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:20:09.387Z] : [warn]: There is a small amount of free memory (RAM) left, 95.29% of RAM is being used (15297 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:23:09.399Z] : [warn]: There is a small amount of free memory (RAM) left, 91.94% of RAM is being used (14759 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:26:09.411Z] : [warn]: There is a small amount of free memory (RAM) left, 93.9% of RAM is being used (15074 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:29:09.422Z] : [warn]: There is a small amount of free memory (RAM) left, 94.77% of RAM is being used (15214 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:32:09.430Z] : [warn]: There is a small amount of free memory (RAM) left, 94.68% of RAM is being used (15199 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:35:09.439Z] : [warn]: There is a small amount of free memory (RAM) left, 94.64% of RAM is being used (15193 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:38:09.445Z] : [warn]: There is a small amount of free memory (RAM) left, 94% of RAM is being used (15090 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:41:09.448Z] : [warn]: There is a small amount of free memory (RAM) left, 94.72% of RAM is being used (15206 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:44:09.460Z] : [warn]: There is a small amount of free memory (RAM) left, 93.65% of RAM is being used (15034 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:47:09.468Z] : [warn]: There is a small amount of free memory (RAM) left, 92.64% of RAM is being used (14871 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:50:09.473Z] : [warn]: There is a small amount of free memory (RAM) left, 91.22% of RAM is being used (14643 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:53:09.488Z] : [warn]: There is a small amount of free memory (RAM) left, 97.03% of RAM is being used (15576 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:56:09.504Z] : [warn]: There is a small amount of free memory (RAM) left, 94.55% of RAM is being used (15178 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T18:59:09.510Z] : [warn]: There is a small amount of free memory (RAM) left, 94.7% of RAM is being used (15202 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T19:02:09.524Z] : [warn]: There is a small amount of free memory (RAM) left, 94.25% of RAM is being used (15130 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T19:24:34.096Z] : [error]: Activity parameters required: Get element value

[2023-10-25T19:24:34.475Z] : [info]: ---------------------------------------------

[2023-10-25T20:04:09.375Z] : [warn]: There is a small amount of free memory (RAM) left, 93.73% of RAM is being used (15046 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:07:09.377Z] : [warn]: There is a small amount of free memory (RAM) left, 95.55% of RAM is being used (15338 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:12:39.373Z] : [warn]: There is a small amount of free memory (RAM) left, 90.89% of RAM is being used (14590 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:17:09.379Z] : [warn]: There is a small amount of free memory (RAM) left, 93.35% of RAM is being used (14986 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:20:09.389Z] : [warn]: There is a small amount of free memory (RAM) left, 94.11% of RAM is being used (15108 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:23:09.397Z] : [warn]: There is a small amount of free memory (RAM) left, 90.64% of RAM is being used (14550 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:31:39.369Z] : [warn]: There is a small amount of free memory (RAM) left, 90.23% of RAM is being used (14484 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:33:09.371Z] : [warn]: There is a small amount of free memory (RAM) left, 91.39% of RAM is being used (14671 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:35:09.376Z] : [warn]: There is a small amount of free memory (RAM) left, 91.36% of RAM is being used (14666 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:37:09.376Z] : [warn]: There is a small amount of free memory (RAM) left, 93.07% of RAM is being used (14940 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:40:09.384Z] : [warn]: There is a small amount of free memory (RAM) left, 91.93% of RAM is being used (14757 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:43:09.389Z] : [warn]: There is a small amount of free memory (RAM) left, 90.66% of RAM is being used (14553 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:46:09.371Z] : [warn]: There is a small amount of free memory (RAM) left, 90.44% of RAM is being used (14518 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:50:09.369Z] : [warn]: There is a small amount of free memory (RAM) left, 90.39% of RAM is being used (14511 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:51:09.370Z] : [warn]: There is a small amount of free memory (RAM) left, 91.31% of RAM is being used (14658 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:54:09.382Z] : [warn]: There is a small amount of free memory (RAM) left, 90.64% of RAM is being used (14551 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:56:39.368Z] : [warn]: There is a small amount of free memory (RAM) left, 90.46% of RAM is being used (14522 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T20:59:39.370Z] : [warn]: There is a small amount of free memory (RAM) left, 93.19% of RAM is being used (14960 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T21:02:39.380Z] : [warn]: There is a small amount of free memory (RAM) left, 90.83% of RAM is being used (14581 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T23:01:09.372Z] : [warn]: There is a small amount of free memory (RAM) left, 94.85% of RAM is being used (15226 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T23:04:09.381Z] : [warn]: There is a small amount of free memory (RAM) left, 93.27% of RAM is being used (14973 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T23:42:39.361Z] : [warn]: There is a small amount of free memory (RAM) left, 90.87% of RAM is being used (14587 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-25T23:44:39.363Z] : [warn]: There is a small amount of free memory (RAM) left, 96.3% of RAM is being used (15459 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T12:57:52.058Z] : [warn]: There is a small amount of free memory (RAM) left, 95.91% of RAM is being used (15396 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T13:00:52.066Z] : [warn]: There is a small amount of free memory (RAM) left, 91.99% of RAM is being used (14767 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T13:03:52.084Z] : [warn]: There is a small amount of free memory (RAM) left, 90.78% of RAM is being used (14573 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T13:21:36.493Z] : [warn]: There is a small amount of free memory (RAM) left, 95.03% of RAM is being used (15255 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T13:24:36.505Z] : [warn]: There is a small amount of free memory (RAM) left, 95.56% of RAM is being used (15341 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T13:27:36.523Z] : [warn]: There is a small amount of free memory (RAM) left, 91.66% of RAM is being used (14714 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

